Culture,day,after,before,survival_percent,antibiotic
10,12,80000000.0,140000000.0,57.142857142857146,Levofloxacin
10,13,280000000.0,450000000.0,62.22222222222222,Levofloxacin
10,14,155000000.0,254999999.99999997,60.7843137254902,Levofloxacin
10,15,290000000.0,250000000.0,116.0,Levofloxacin
10,16,194999999.99999997,200000000.0,97.49999999999999,Levofloxacin
1,1,135000.0,204999999.99999997,0.06585365853658537,Cefepime
1,2,899999.9999999999,349999999.99999994,0.2571428571428571,Cefepime
1,3,12500.0,209999999.99999997,0.005952380952380953,Cefepime
1,4,1849999.9999999998,254999999.99999997,0.7254901960784313,Cefepime
1,5,949999.9999999999,310000000.0,0.30645161290322576,Cefepime
1,6,35000.0,264999999.99999997,0.013207547169811323,Cefepime
1,7,21499999.999999996,244999999.99999997,8.775510204081632,Cefepime
1,8,160000.0,224999999.99999997,0.07111111111111112,Cefepime
1,9,1300000.0,204999999.99999997,0.6341463414634148,Cefepime
1,10,5499999.999999999,224999999.99999997,2.444444444444444,Cefepime
1,11,2350000.0,199999999.99999997,1.1750000000000003,Cefepime
1,12,600000.0,214999999.99999997,0.2790697674418605,Cefepime
1,13,3099999.9999999995,204999999.99999997,1.5121951219512195,Cefepime
1,14,3499999.9999999995,214999999.99999997,1.627906976744186,Cefepime
1,15,3399999.9999999995,204999999.99999997,1.6585365853658536,Cefepime
1,16,6999999.999999999,750000000.0,0.9333333333333331,Cefepime
1,17,11499999.999999998,244999999.99999997,4.693877551020408,Cefepime
1,18,1999999.9999999998,224999999.99999997,0.8888888888888888,Cefepime
1,19,4999999.999999999,174999999.99999997,2.8571428571428568,Cefepime
1,20,1400000.0,160000000.0,0.875,Cefepime
2,1,650000.0,199999999.99999997,0.32500000000000007,Cefepime
2,2,105000.0,275000000.0,0.038181818181818185,Cefepime
2,3,11000.0,229999999.99999997,0.004782608695652175,Cefepime
2,4,1250000.0,174999999.99999997,0.7142857142857144,Cefepime
2,5,1150000.0,325000000.0,0.35384615384615387,Cefepime
2,6,849999.9999999999,270000000.0,0.31481481481481477,Cefepime
2,7,1649999.9999999998,155000000.0,1.0645161290322578,Cefepime
2,8,15999999.999999998,150000000.0,10.666666666666664,Cefepime
2,9,25000.0,174999999.99999997,0.014285714285714289,Cefepime
2,10,10499999.999999998,179999999.99999997,5.833333333333333,Cefepime
2,11,2200000.0,229999999.99999997,0.9565217391304349,Cefepime
2,12,20499999.999999996,174999999.99999997,11.714285714285714,Cefepime
2,13,109999999.99999999,165000000.0,66.66666666666666,Cefepime
2,14,64999999.99999999,170000000.0,38.23529411764705,Cefepime
2,15,85000000.0,109999999.99999999,77.27272727272728,Cefepime
2,16,99999999.99999999,174999999.99999997,57.14285714285714,Cefepime
2,17,109999999.99999999,124999999.99999999,88.0,Cefepime
2,18,89999999.99999999,179999999.99999997,50.0,Cefepime
2,19,70000000.0,160000000.0,43.75,Cefepime
2,20,104999999.99999999,160000000.0,65.62499999999999,Cefepime
3,1,749999.9999999999,285000000.0,0.26315789473684204,Cefepime
3,2,250000.0,285000000.0,0.08771929824561403,Cefepime
3,3,170000.0,209999999.99999997,0.08095238095238097,Cefepime
3,4,999999.9999999999,224999999.99999997,0.4444444444444444,Cefepime
3,5,2700000.0,315000000.0,0.8571428571428571,Cefepime
3,6,125000.0,229999999.99999997,0.05434782608695653,Cefepime
3,7,125000.0,229999999.99999997,0.05434782608695653,Cefepime
3,8,255000.0,204999999.99999997,0.12439024390243904,Cefepime
3,9,1999999.9999999998,254999999.99999997,0.7843137254901961,Cefepime
3,10,2400000.0,239999999.99999997,1.0000000000000002,Cefepime
3,11,3449999.9999999995,199999999.99999997,1.7249999999999999,Cefepime
3,12,1649999.9999999998,325000000.0,0.5076923076923076,Cefepime
3,13,2750000.0,280000000.0,0.9821428571428571,Cefepime
3,14,5999999.999999999,80000000.0,7.499999999999998,Cefepime
3,15,10999999.999999998,160000000.0,6.874999999999998,Cefepime
3,16,15499999.999999998,1100000000.0,1.409090909090909,Cefepime
3,17,22499999.999999996,204999999.99999997,10.97560975609756,Cefepime
3,18,6999999.999999999,184999999.99999997,3.7837837837837838,Cefepime
3,19,40000000.0,199999999.99999997,20.000000000000004,Cefepime
3,20,12499999.999999998,209999999.99999997,5.952380952380952,Cefepime
4,1,150000.0,259999999.99999997,0.057692307692307696,Cefepime
4,2,1100000.0,99999999.99999999,1.1,Cefepime
4,3,75000.0,184999999.99999997,0.04054054054054055,Cefepime
4,4,21500.0,275000000.0,0.007818181818181818,Cefepime
4,5,1649999.9999999998,344999999.99999994,0.4782608695652174,Cefepime
4,6,11499999.999999998,204999999.99999997,5.609756097560975,Cefepime
4,7,899999.9999999999,155000000.0,0.5806451612903225,Cefepime
4,8,14499999.999999998,160000000.0,9.062499999999998,Cefepime
4,9,1449999.9999999998,174999999.99999997,0.8285714285714285,Cefepime
4,10,1050000.0,189999999.99999997,0.5526315789473685,Cefepime
4,11,1499999.9999999998,135000000.0,1.111111111111111,Cefepime
4,12,2250000.0,174999999.99999997,1.285714285714286,Cefepime
4,13,41999999.99999999,264999999.99999997,15.849056603773583,Cefepime
4,14,1599999.9999999998,64999999.99999999,2.4615384615384612,Cefepime
4,15,9499999.999999998,135000000.0,7.037037037037035,Cefepime
4,16,8499999.999999998,500000000.0,1.6999999999999995,Cefepime
4,17,8499999.999999998,94999999.99999999,8.94736842105263,Cefepime
4,18,23500.0,155000000.0,0.015161290322580645,Cefepime
4,19,64999999.99999999,170000000.0,38.23529411764705,Cefepime
4,20,20499999.999999996,234999999.99999997,8.723404255319148,Cefepime
5,1,235000.0,249999999.99999997,0.09400000000000001,Cefepime
5,2,125000.0,290000000.0,0.04310344827586207,Cefepime
5,3,1400000.0,155000000.0,0.9032258064516129,Cefepime
5,4,105000.0,204999999.99999997,0.05121951219512196,Cefepime
5,5,2899999.9999999995,330000000.0,0.8787878787878786,Cefepime
5,6,230000.0,244999999.99999997,0.09387755102040818,Cefepime
5,7,1300000.0,160000000.0,0.8125,Cefepime
5,8,449999.99999999994,184999999.99999997,0.24324324324324323,Cefepime
5,9,1499999.9999999998,275000000.0,0.5454545454545453,Cefepime
5,10,5499999.999999999,254999999.99999997,2.156862745098039,Cefepime
5,11,6499999.999999999,199999999.99999997,3.25,Cefepime
5,12,20999999.999999996,259999999.99999997,8.076923076923077,Cefepime
5,13,2750000.0,229999999.99999997,1.1956521739130437,Cefepime
5,14,80000000.0,170000000.0,47.05882352941177,Cefepime
5,15,99999999.99999999,165000000.0,60.606060606060595,Cefepime
5,16,99999999.99999999,170000000.0,58.823529411764696,Cefepime
5,17,170000000.0,114999999.99999999,147.82608695652175,Cefepime
5,18,75000000.0,160000000.0,46.875,Cefepime
5,19,99999999.99999999,189999999.99999997,52.63157894736842,Cefepime
5,20,165000000.0,214999999.99999997,76.74418604651164,Cefepime
6,1,999999.9999999999,170000000.0,0.588235294117647,Cefepime
6,2,1300000.0,229999999.99999997,0.5652173913043479,Cefepime
6,3,19500.0,254999999.99999997,0.007647058823529413,Cefepime
6,4,80000.0,224999999.99999997,0.03555555555555556,Cefepime
6,5,110000.0,500000000.0,0.022,Cefepime
6,6,2700000.0,204999999.99999997,1.3170731707317076,Cefepime
6,7,65000.0,194999999.99999997,0.03333333333333334,Cefepime
6,8,14999999.999999998,199999999.99999997,7.5,Cefepime
6,9,600000.0,59999999.99999999,1.0000000000000002,Cefepime
6,10,1649999.9999999998,109999999.99999999,1.5,Cefepime
6,11,1649999.9999999998,150000000.0,1.0999999999999999,Cefepime
6,12,2550000.0,165000000.0,1.5454545454545454,Cefepime
6,13,1949999.9999999998,239999999.99999997,0.8125,Cefepime
6,14,1250000.0,64999999.99999999,1.9230769230769234,Cefepime
6,15,17000.0,99999999.99999999,0.017,Cefepime
6,16,49999999.99999999,850000000.0,5.882352941176469,Cefepime
6,17,29999999.999999996,330000000.0,9.09090909090909,Cefepime
